segment_id,segment_type,point_index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event,from_node,to_node,source_x_m,source_y_m,map_yaw_rad,alignment_zone
START_A,,36,37.2889945668,127.1075743333,5.215824153,-1.520497957,1,1,2,NONE,,,-6.669731000,1.955534000,0.124747775918,ZONE_01_START
START_A,,37,37.2889954002,127.1075716666,5.467597449,-1.488925853,1,1,2,NONE,,,-6.905908000,2.048308000,0.144951053039,ZONE_01_START
START_A,,38,37.2889962335,127.1075688333,5.732320080,-1.450283010,1,1,2,NONE,,,-7.156839000,2.141071000,0.124788125751,ZONE_01_START
START_A,,39,37.2889970668,127.1075661666,5.984088112,-1.418701247,1,1,2,NONE,,,-7.393016000,2.233834000,0.194562339648,ZONE_01_START
START_A,,40,37.2889977335,127.1075635000,6.226972357,-1.370839665,1,1,2,NONE,,,-7.629184000,2.308051000,0.124786684981,ZONE_01_START
START_A,,41,37.2889985668,127.1075608333,6.478739510,-1.339258382,1,1,2,NONE,,,-7.865360000,2.400814000,0.144913783504,ZONE_01_START
START_A,,42,37.2889994002,127.1075580000,6.743468284,-1.300624718,1,1,2,NONE,,,-8.116292000,2.493588000,0.102300878195,ZONE_01_START
START_A,,43,37.2890002335,127.1075555000,6.982272058,-1.276109301,1,1,2,NONE,,,-8.337704000,2.586351000,0.144964013499,ZONE_01_START
START_A,,44,37.2890010668,127.1075526666,7.247003470,-1.237461672,1,1,2,NONE,,,-8.588645000,2.679114000,0.267588443687,ZONE_01_START
START_A,,45,37.2890015668,127.1075500000,7.481005687,-1.173306783,1,1,2,NONE,,,-8.824812000,2.734774000,0.194573238667,ZONE_01_START
START_A,,46,37.2890022335,127.1075473333,7.723897834,-1.125440894,1,1,2,NONE,,,-9.060989000,2.808991000,0.252762136296,ZONE_01_START
START_A,,47,37.2890027335,127.1075448333,7.944944574,-1.068347565,1,1,2,NONE,,,-9.282401000,2.864651000,0.211478051837,ZONE_01_START
START_A,,48,37.2890034002,127.1075420000,8.200792198,-1.013420116,1,1,2,NONE,,,-9.533333000,2.938868000,0.175663006042,ZONE_01_START
START_A,,49,37.2890040668,127.1075395000,8.430715701,-0.972610435,1,1,2,NONE,,,-9.754746000,3.013074000,0.252762136296,ZONE_01_START
START_A,,50,37.2890045668,127.1075370000,8.651762440,-0.915517106,1,1,2,NONE,,,-9.976158000,3.068734000,0.273945508003,ZONE_01_START
START_A,,51,37.2890049875,127.1075346907,8.853755872,-0.858754827,1,1,2,NONE,,,-10.180682000,3.115566000,0.199465729138,ZONE_01_START
START_A,,52,37.2890055668,127.1075323333,9.067938818,-0.815456916,1,1,2,NONE,,,-10.389465000,3.180054000,0.130004281719,ZONE_01_START
START_A,,53,37.2890062335,127.1075301666,9.271948727,-0.788784319,1,1,2,NONE,,,-10.581359000,3.254271000,0.080330610698,ZONE_01_START
START_A,,54,37.2890070237,127.1075279348,9.487601035,-0.771423478,1,1,2,NONE,,,-10.779019000,3.342236000,0.188971515211,ZONE_01_START
START_A,,55,37.2890075178,127.1075259965,9.664653495,-0.737561571,1,1,2,NONE,,,-10.950684000,3.397239000,0.240623105403,ZONE_01_START
START_A,,56,37.2890078621,127.1075243593,9.810311697,-0.701820366,1,1,2,NONE,,,-11.095683000,3.435567000,0.177289811981,ZONE_01_START
START_A,,57,37.2890084011,127.1075223269,9.997074599,-0.668357875,1,1,2,NONE,,,-11.275683000,3.495568000,0.260655980035,ZONE_01_START
START_A,,58,37.2890087904,127.1075203133,10.174399504,-0.621061055,1,1,2,NONE,,,-11.454017000,3.538905000,0.217579651611,ZONE_01_START
START_A,,59,37.2890091497,127.1075187514,10.315000821,-0.589976999,1,1,2,NONE,,,-11.592347000,3.578902000,0.240801332778,ZONE_01_START
START_A,,60,37.2890093593,127.1075177540,10.403729353,-0.568188271,1,1,2,NONE,,,-11.680682000,3.602235000,0.241547540454,ZONE_01_START
START_A,,61,37.2890094342,127.1075173965,10.435520314,-0.560356328,1,1,2,NONE,,,-11.712344000,3.610573000,0.197745704351,ZONE_01_START
START_A,,62,37.2890097785,127.1075160039,10.562157539,-0.534982765,1,1,2,NONE,,,-11.835680000,3.648901000,0.116821105274,ZONE_01_START
START_A,,63,37.2890103924,127.1075140844,10.744130506,-0.513627246,1,1,2,NONE,,,-12.005680000,3.717240000,0.222762091587,ZONE_01_START
START_A,,64,37.2890109002,127.1075118333,10.946238027,-0.467845561,1,1,2,NONE,,,-12.205049000,3.773768000,0.211633125316,ZONE_01_START
START_A,,65,37.2890113356,127.1075099819,11.113406880,-0.431929273,1,1,2,NONE,,,-12.369019000,3.822237000,0.207551690312,ZONE_01_START
START_A,,66,37.2890117848,127.1075081001,11.283673647,-0.396073775,1,1,2,NONE,,,-12.535680000,3.872242000,0.126364532458,ZONE_01_START
START_A,,67,37.2890125633,127.1075055972,11.519784092,-0.366077961,1,1,2,NONE,,,-12.757350000,3.958904000,0.121618340248,ZONE_01_START
START_A,,68,37.2890132221,127.1075035084,11.717315726,-0.341935343,1,1,2,NONE,,,-12.942345000,4.032242000,0.189294892941,ZONE_01_START
START_A,,69,37.2890137335,127.1075015000,11.900741695,-0.306792991,1,1,2,NONE,,,-13.120219000,4.089171000,0.194582928441,ZONE_01_START
START_A,,70,37.2890142335,127.1074995000,12.082907074,-0.270892476,1,1,2,NONE,,,-13.297349000,4.144831000,0.102269986393,ZONE_01_START
START_A,,71,37.2890149002,127.1074975000,12.273953603,-0.251285745,1,1,2,NONE,,,-13.474479000,4.219048000,0.154307706646,ZONE_01_START
START_A,,72,37.2890155668,127.1074951666,12.490921627,-0.217537624,1,1,2,NONE,,,-13.681137000,4.293254000,0.154246704613,ZONE_01_START
START_A,,73,37.2890162335,127.1074928333,12.707887014,-0.183803468,1,1,2,NONE,,,-13.887786000,4.367471000,0.130004281719,ZONE_01_START
START_A,,74,37.2890169002,127.1074906666,12.911896923,-0.157130871,1,1,2,NONE,,,-14.079680000,4.441688000,0.194603519980,ZONE_01_START
START_A,,75,37.2890175668,127.1074880000,13.154775025,-0.109260109,1,1,2,NONE,,,-14.315847000,4.515894000,0.154260558583,ZONE_01_START
START_A,,76,37.2890182335,127.1074856666,13.371748314,-0.075521646,1,1,2,NONE,,,-14.522505000,4.590111000,0.146411554065,ZONE_01_START
START_A,,77,37.2890189713,127.1074831467,13.607012208,-0.040828037,1,1,2,NONE,,,-14.745680000,4.672243000,0.083586880771,ZONE_01_START
START_A,,78,37.2890199002,127.1074805000,13.862318359,-0.019437953,1,1,2,NONE,,,-14.980086000,4.775648000,0.154306167545,ZONE_01_START
START_A,,79,37.2890205668,127.1074781666,14.079285506,0.014309690,1,1,2,NONE,,,-15.186743000,4.849854000,0.102260225935,ZONE_01_START
START_A,,80,37.2890214002,127.1074756666,14.318095422,0.038815928,1,1,2,NONE,,,-15.408156000,4.942628000,0.175663006042,ZONE_01_START
START_A,,81,37.2890220668,127.1074731666,14.548018924,0.079625609,1,1,2,NONE,,,-15.629569000,5.016834000,0.102258616128,ZONE_01_START
START_A,,82,37.2890229002,127.1074706666,14.786827962,0.104131368,1,1,2,NONE,,,-15.850981000,5.109608000,0.033183543073,ZONE_01_START
START_A,,83,37.2890239002,127.1074681666,15.034513763,0.112353478,1,1,2,NONE,,,-16.072394000,5.220928000,0.102302487868,ZONE_01_START
START_A,,84,37.2890247335,127.1074656666,15.273318414,0.136869374,1,1,2,NONE,,,-16.293807000,5.313691000,0.194562339648,ZONE_01_START
START_A,,85,37.2890254002,127.1074630000,15.516202659,0.184730956,1,1,2,NONE,,,-16.529975000,5.387908000,0.211527032167,ZONE_01_START
