index,segment_id,x,y,yaw_deg,direction,speed,required_steering_deg,event
76,9,8.992960,60.622616,-108.182355,F,2.000000,-1.754878,NONE
77,9,8.341866,58.640244,-111.331561,F,2.000000,-1.055393,NONE
78,9,7.516502,56.526737,-87.954066,F,2.000000,8.370536,NONE
79,9,7.578981,54.777775,-79.477639,F,2.000000,3.811380,NONE
80,9,7.850926,53.313683,-70.020223,F,2.000000,4.028783,NONE
81,9,8.509848,51.501320,-71.520613,F,2.000000,-0.638150,NONE
82,9,8.986567,50.074852,-73.855817,F,2.000000,-1.045456,NONE
83,9,9.474990,48.387554,-66.095739,F,2.000000,3.150108,NONE
84,9,10.218012,46.711166,-88.696355,F,2.000000,-7.398866,NONE
85,9,10.276484,44.141754,-109.154653,F,2.000000,-7.117206,NONE
86,9,9.758361,42.650108,-148.386737,F,1.000000,-17.045351,NONE
87,9,8.380269,41.801861,-164.530739,F,2.000000,-6.344499,NONE
88,9,6.386363,41.250053,-176.782769,F,2.000000,-3.428456,NONE
89,9,3.260041,41.074322,172.252382,F,2.000000,-2.101221,NONE
90,9,-1.170505,41.677105,150.537861,F,2.000000,-5.058793,NONE
91,9,-2.667641,42.522839,116.513180,F,1.000000,-13.847229,NONE
92,9,-3.447217,44.085526,100.701589,F,2.000000,-5.731158,NONE
93,9,-3.865925,46.301140,99.838876,F,2.000000,-0.179768,NONE
94,9,-4.677864,50.982822,99.333218,F,2.000000,-0.084229,NONE
95,9,-5.328755,54.943180,91.210804,F,2.000000,-0.687713,NONE
96,9,-5.607738,68.142815,70.126409,F,2.000000,-1.901567,NONE
97,9,-4.665707,70.748901,38.276468,F,2.000000,-9.201346,NONE
98,9,-2.960737,72.094269,9.706384,F,2.000000,-8.686776,NONE
99,9,-0.454178,72.523010,5.243352,F,2.000000,-0.805409,NONE
100,9,5.066549,73.029648,0.207419,F,2.000000,-0.476299,NONE
101,9,14.952731,73.065437,-50.157443,F,2.000000,-5.701252,NONE
102,9,16.229328,71.535530,-64.530893,F,2.000000,-4.604837,NONE
103,9,17.322617,69.240219,-83.678731,F,2.000000,-5.017549,NONE
104,9,17.651676,66.269745,-89.462300,F,2.000000,-1.679071,NONE
105,9,17.670788,64.233322,-86.145990,F,2.000000,0.292929,NONE
106,10,18.644459,49.780045,-84.066521,F,0.000000,0.000000,STOP
107,11,18.990959,46.446083,-79.380654,F,2.000000,0.958565,NONE
108,11,19.688013,42.728352,-53.271500,F,2.000000,5.928709,NONE
109,11,21.220480,40.674522,-30.685065,F,2.000000,6.399900,NONE
110,11,23.400930,39.380634,-6.102977,F,2.000000,6.821826,NONE
